block_number,block_timestamp_utc,tx_count,onchain_log_count
46434334,2026-05-30 04:32:20,15,150
46434335,2026-05-30 04:32:25,11,41
46434336,2026-05-30 04:32:30,11,31
46434337,2026-05-30 04:32:35,12,51
46434338,2026-05-30 04:32:40,10,61
46434339,2026-05-30 04:32:45,15,65
46434340,2026-05-30 04:32:50,16,77
46434341,2026-05-30 04:32:55,11,47
46434342,2026-05-30 04:33:00,21,73
46434343,2026-05-30 04:33:05,15,40
46434344,2026-05-30 04:33:10,14,21
46434345,2026-05-30 04:33:15,10,30
46434346,2026-05-30 04:33:20,8,17
46434347,2026-05-30 04:33:25,12,74
46434349,2026-05-30 04:33:35,22,155
46434350,2026-05-30 04:33:40,9,52
46434351,2026-05-30 04:33:45,14,61
46434352,2026-05-30 04:33:50,8,21
46434353,2026-05-30 04:33:55,8,23
46434354,2026-05-30 04:34:00,7,40
46434355,2026-05-30 04:34:05,17,140
46434356,2026-05-30 04:34:10,20,154
46434357,2026-05-30 04:34:15,15,142
46434358,2026-05-30 04:34:20,18,141
46434359,2026-05-30 04:34:25,20,107
46434360,2026-05-30 04:34:30,9,65
46434361,2026-05-30 04:34:35,15,64
46434362,2026-05-30 04:34:40,19,68
46434363,2026-05-30 04:34:45,17,94
46434364,2026-05-30 04:34:50,12,48
46434365,2026-05-30 04:34:55,17,90
46434366,2026-05-30 04:35:00,23,187
46434367,2026-05-30 04:35:05,22,175
46434368,2026-05-30 04:35:10,15,73
46434369,2026-05-30 04:35:15,17,123
46434370,2026-05-30 04:35:20,20,101
46434371,2026-05-30 04:35:25,11,55
46434372,2026-05-30 04:35:30,7,23
46434373,2026-05-30 04:35:35,16,66
46434374,2026-05-30 04:35:40,9,71
46434375,2026-05-30 04:35:45,26,166
46434376,2026-05-30 04:35:50,21,99
46434377,2026-05-30 04:35:55,27,142
46434378,2026-05-30 04:36:00,18,111
46434379,2026-05-30 04:36:05,14,79
46434380,2026-05-30 04:36:10,12,63
46434381,2026-05-30 04:36:15,14,85
46434382,2026-05-30 04:36:20,7,88
46434383,2026-05-30 04:36:30,21,106
46434384,2026-05-30 04:36:35,14,99
46434385,2026-05-30 04:36:40,21,162
46434386,2026-05-30 04:36:45,17,120
46434387,2026-05-30 04:36:50,11,80
46434388,2026-05-30 04:36:55,12,79
46434389,2026-05-30 04:37:00,10,42
46434390,2026-05-30 04:37:05,11,44
46434391,2026-05-30 04:37:10,9,37
46434392,2026-05-30 04:37:15,9,36
46434393,2026-05-30 04:37:20,11,49
46434394,2026-05-30 04:37:25,13,53
46434395,2026-05-30 04:37:30,11,31
46434396,2026-05-30 04:37:35,9,37
46434397,2026-05-30 04:37:40,6,15
46434398,2026-05-30 04:37:45,14,48
46434399,2026-05-30 04:37:50,10,29
46689500,2026-06-14 08:20:10,13,31
46689501,2026-06-14 08:20:15,21,58
46689502,2026-06-14 08:20:20,45,114
46689503,2026-06-14 08:20:25,18,58
46689504,2026-06-14 08:20:30,17,34
46689505,2026-06-14 08:20:35,19,36
46689506,2026-06-14 08:20:40,20,30
46689507,2026-06-14 08:20:45,15,39
46689508,2026-06-14 08:20:50,18,51
46689509,2026-06-14 08:20:55,29,83
46689510,2026-06-14 08:21:00,26,56
46689511,2026-06-14 08:21:05,22,92
46689512,2026-06-14 08:21:10,62,128
46689513,2026-06-14 08:21:15,23,43
46689514,2026-06-14 08:21:20,24,43
46689515,2026-06-14 08:21:25,41,121
46689516,2026-06-14 08:21:30,42,110
46689517,2026-06-14 08:21:35,24,69
46689518,2026-06-14 08:21:40,15,29
46689519,2026-06-14 08:21:45,40,107
46689520,2026-06-14 08:21:50,14,31
46689521,2026-06-14 08:21:55,36,99
46689522,2026-06-14 08:22:00,7,27
46689523,2026-06-14 08:22:05,14,37
46689524,2026-06-14 08:22:10,11,23
46689525,2026-06-14 08:22:15,42,119
46689526,2026-06-14 08:22:20,10,20
46689527,2026-06-14 08:22:25,14,49
46689528,2026-06-14 08:22:30,33,100
46689529,2026-06-14 08:22:35,13,49
46689530,2026-06-14 08:22:40,12,23
46689531,2026-06-14 08:22:45,40,100
46689532,2026-06-14 08:22:50,16,43
46689533,2026-06-14 08:22:55,54,153
46689534,2026-06-14 08:23:00,20,26
46689535,2026-06-14 08:23:05,24,41
46689536,2026-06-14 08:23:10,15,23
46689537,2026-06-14 08:23:15,51,125
46689538,2026-06-14 08:23:20,17,24
46689539,2026-06-14 08:23:25,43,116
46689540,2026-06-14 08:23:30,27,49
46689541,2026-06-14 08:23:35,25,76
46689542,2026-06-14 08:23:40,39,29
46689543,2026-06-14 08:23:45,31,166
46689544,2026-06-14 08:23:50,8,23
46689545,2026-06-14 08:23:55,17,37
46689546,2026-06-14 08:24:00,11,38
