model_name,schema_file,module,tags,tier,class,timestamp_column,has_full_refresh,has_existing_elementary_tests,rollout_wave,anomaly_enabled,kpi_columns,dimension_columns,schema_change_enabled,notes
contracts_AgentResultMapping_calls,models/contracts/AgentResultMapping/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_AgentResultMapping_events,models/contracts/AgentResultMapping/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_BalancerV2_Vault_events,models/contracts/BalancerV2/schema.yml,contracts,,tier3,event_grain,,True,False,1,False,,,False,contract event: schema_changes only
contracts_BalancerV3_Vault_events,models/contracts/BalancerV3/schema.yml,contracts,,tier3,event_grain,,True,False,1,False,,,False,contract event: schema_changes only
contracts_ConditionalTokens_calls,models/contracts/ConditionalTokens/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_ConditionalTokens_events,models/contracts/ConditionalTokens/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_FPMMDeterministicFactory_calls,models/contracts/FPMMDeterministicFactory/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,status,False,contract event: schema_changes only
contracts_FPMMDeterministicFactory_events,models/contracts/FPMMDeterministicFactory/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_GBCDeposit_calls,models/contracts/GBCDeposit/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,amount,status,False,contract event: schema_changes only
contracts_GBCDeposit_events,models/contracts/GBCDeposit/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,status,False,contract event: schema_changes only
contracts_OmenAgentResultMapping_calls,models/contracts/OmenAgentResultMapping/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,gas_used,,False,contract event: schema_changes only
contracts_OmenAgentResultMapping_events,models/contracts/OmenAgentResultMapping/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_Realitio_v2_1_calls,models/contracts/Realitio_v2_1/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,gas_used,,False,contract event: schema_changes only
contracts_Realitio_v2_1_events,models/contracts/Realitio_v2_1/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,status,False,contract event: schema_changes only
contracts_Seer_MarketFactory_calls,models/contracts/SeerPM/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_Seer_MarketFactory_events,models/contracts/SeerPM/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_Seer_Wrapped1155Factory_calls,models/contracts/SeerPM/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,gas_used,,False,contract event: schema_changes only
contracts_Seer_Wrapped1155Factory_events,models/contracts/SeerPM/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_Swapr_v3_AlgebraFactory_calls,models/contracts/Swapr/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_Swapr_v3_AlgebraFactory_events,models/contracts/Swapr/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_Swapr_v3_AlgebraPool_calls,models/contracts/Swapr/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,status,False,contract event: schema_changes only
contracts_Swapr_v3_AlgebraPool_events,models/contracts/Swapr/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_UniswapV3_Factory_events,models/contracts/UniswapV3/schema.yml,contracts,,tier3,event_grain,,True,False,1,False,,,False,contract event: schema_changes only
contracts_UniswapV3_Pool_events,models/contracts/UniswapV3/schema.yml,contracts,,tier3,event_grain,,True,False,1,False,,,False,contract event: schema_changes only
contracts_aaveV3_PoolConfigurator_events,models/contracts/aave/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_aaveV3_PoolInstance_events,models/contracts/aave/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_agave_LendingPool_events,models/contracts/agave/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_backedfi_TSLAx_Oracle_events,models/contracts/backedfi/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_backedfi_bC3M_Oracle_events,models/contracts/backedfi/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
contracts_backedfi_bCOIN_Oracle_events,models/contracts/backedfi/schema.yml,contracts,,tier3,event_grain,block_timestamp,True,False,1,False,,,False,contract event: schema_changes only
