contract_address,implementation_address,contract_name,function_name,signature,state_mutability,input_params,output_params
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,baseFeeConfiguration,9832853a,view,[],"[{""name"": ""alpha1"", ""type"": ""uint16"", ""position"": 1}, {""name"": ""alpha2"", ""type"": ""uint16"", ""position"": 2}, {""name"": ""beta1"", ""type"": ""uint32"", ""position"": 3}, {""name"": ""beta2"", ""type"": ""uint32"", ""position"": 4}, {""name"": ""gamma1"", ""type"": ""uint16"", ""position"": 5}, {""name"": ""gamma2"", ""type"": ""uint16"", ""position"": 6}, {""name"": ""volumeBeta"", ""type"": ""uint32"", ""position"": 7}, {""name"": ""volumeGamma"", ""type"": ""uint16"", ""position"": 8}, {""name"": ""baseFee"", ""type"": ""uint16"", ""position"": 9}]"
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,createPool,e3433615,nonpayable,"[{""name"": ""tokenA"", ""type"": ""address"", ""position"": 1}, {""name"": ""tokenB"", ""type"": ""address"", ""position"": 2}]","[{""name"": ""pool"", ""type"": ""address"", ""position"": 1}]"
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,defaultCommunityFee,2f8a39dd,view,[],"[{""name"": """", ""type"": ""uint8"", ""position"": 1}]"
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,farmingAddress,8a2ade58,view,[],"[{""name"": """", ""type"": ""address"", ""position"": 1}]"
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,owner,8da5cb5b,view,[],"[{""name"": """", ""type"": ""address"", ""position"": 1}]"
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,poolByPair,d9a641e1,view,"[{""name"": """", ""type"": ""address"", ""position"": 1}, {""name"": """", ""type"": ""address"", ""position"": 2}]","[{""name"": """", ""type"": ""address"", ""position"": 1}]"
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,poolDeployer,3119049a,view,[],"[{""name"": """", ""type"": ""address"", ""position"": 1}]"
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,setBaseFeeConfiguration,5d6d7e93,nonpayable,"[{""name"": ""alpha1"", ""type"": ""uint16"", ""position"": 1}, {""name"": ""alpha2"", ""type"": ""uint16"", ""position"": 2}, {""name"": ""beta1"", ""type"": ""uint32"", ""position"": 3}, {""name"": ""beta2"", ""type"": ""uint32"", ""position"": 4}, {""name"": ""gamma1"", ""type"": ""uint16"", ""position"": 5}, {""name"": ""gamma2"", ""type"": ""uint16"", ""position"": 6}, {""name"": ""volumeBeta"", ""type"": ""uint32"", ""position"": 7}, {""name"": ""volumeGamma"", ""type"": ""uint16"", ""position"": 8}, {""name"": ""baseFee"", ""type"": ""uint16"", ""position"": 9}]",[]
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,setDefaultCommunityFee,371e3521,nonpayable,"[{""name"": ""newDefaultCommunityFee"", ""type"": ""uint8"", ""position"": 1}]",[]
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,setFarmingAddress,b001f618,nonpayable,"[{""name"": ""_farmingAddress"", ""type"": ""address"", ""position"": 1}]",[]
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,setOwner,13af4035,nonpayable,"[{""name"": ""_owner"", ""type"": ""address"", ""position"": 1}]",[]
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,setVaultAddress,85535cc5,nonpayable,"[{""name"": ""_vaultAddress"", ""type"": ""address"", ""position"": 1}]",[]
0xa0864cca6e114013ab0e27cbd5b6f4c8947da766,,AlgebraFactory,vaultAddress,430bf08a,view,[],"[{""name"": """", ""type"": ""address"", ""position"": 1}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,burn,a34123a7,nonpayable,"[{""name"": ""tickLower"", ""type"": ""int24"", ""position"": 1}, {""name"": ""tickUpper"", ""type"": ""int24"", ""position"": 2}, {""name"": ""amount"", ""type"": ""uint128"", ""position"": 3}]","[{""name"": ""amount0"", ""type"": ""uint256"", ""position"": 1}, {""name"": ""amount1"", ""type"": ""uint256"", ""position"": 2}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,collect,4f1eb3d8,nonpayable,"[{""name"": ""recipient"", ""type"": ""address"", ""position"": 1}, {""name"": ""tickLower"", ""type"": ""int24"", ""position"": 2}, {""name"": ""tickUpper"", ""type"": ""int24"", ""position"": 3}, {""name"": ""amount0Requested"", ""type"": ""uint128"", ""position"": 4}, {""name"": ""amount1Requested"", ""type"": ""uint128"", ""position"": 5}]","[{""name"": ""amount0"", ""type"": ""uint128"", ""position"": 1}, {""name"": ""amount1"", ""type"": ""uint128"", ""position"": 2}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,collectProtocol,85b66729,nonpayable,"[{""name"": ""recipient"", ""type"": ""address"", ""position"": 1}, {""name"": ""amount0Requested"", ""type"": ""uint128"", ""position"": 2}, {""name"": ""amount1Requested"", ""type"": ""uint128"", ""position"": 3}]","[{""name"": ""amount0"", ""type"": ""uint128"", ""position"": 1}, {""name"": ""amount1"", ""type"": ""uint128"", ""position"": 2}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,factory,c45a0155,view,[],"[{""name"": """", ""type"": ""address"", ""position"": 1}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,fee,ddca3f43,view,[],"[{""name"": """", ""type"": ""uint24"", ""position"": 1}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,feeGrowthGlobal0X128,f3058399,view,[],"[{""name"": """", ""type"": ""uint256"", ""position"": 1}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,feeGrowthGlobal1X128,46141319,view,[],"[{""name"": """", ""type"": ""uint256"", ""position"": 1}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,flash,490e6cbc,nonpayable,"[{""name"": ""recipient"", ""type"": ""address"", ""position"": 1}, {""name"": ""amount0"", ""type"": ""uint256"", ""position"": 2}, {""name"": ""amount1"", ""type"": ""uint256"", ""position"": 3}, {""name"": ""data"", ""type"": ""bytes"", ""position"": 4}]",[]
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,increaseObservationCardinalityNext,32148f67,nonpayable,"[{""name"": ""observationCardinalityNext"", ""type"": ""uint16"", ""position"": 1}]",[]
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,initialize,f637731d,nonpayable,"[{""name"": ""sqrtPriceX96"", ""type"": ""uint160"", ""position"": 1}]",[]
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,liquidity,1a686502,view,[],"[{""name"": """", ""type"": ""uint128"", ""position"": 1}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,maxLiquidityPerTick,70cf754a,view,[],"[{""name"": """", ""type"": ""uint128"", ""position"": 1}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,mint,3c8a7d8d,nonpayable,"[{""name"": ""recipient"", ""type"": ""address"", ""position"": 1}, {""name"": ""tickLower"", ""type"": ""int24"", ""position"": 2}, {""name"": ""tickUpper"", ""type"": ""int24"", ""position"": 3}, {""name"": ""amount"", ""type"": ""uint128"", ""position"": 4}, {""name"": ""data"", ""type"": ""bytes"", ""position"": 5}]","[{""name"": ""amount0"", ""type"": ""uint256"", ""position"": 1}, {""name"": ""amount1"", ""type"": ""uint256"", ""position"": 2}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,observations,252c09d7,view,"[{""name"": """", ""type"": ""uint256"", ""position"": 1}]","[{""name"": ""blockTimestamp"", ""type"": ""uint32"", ""position"": 1}, {""name"": ""tickCumulative"", ""type"": ""int56"", ""position"": 2}, {""name"": ""secondsPerLiquidityCumulativeX128"", ""type"": ""uint160"", ""position"": 3}, {""name"": ""initialized"", ""type"": ""bool"", ""position"": 4}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,observe,883bdbfd,view,"[{""name"": ""secondsAgos"", ""type"": ""uint32[]"", ""position"": 1}]","[{""name"": ""tickCumulatives"", ""type"": ""int56[]"", ""position"": 1}, {""name"": ""secondsPerLiquidityCumulativeX128s"", ""type"": ""uint160[]"", ""position"": 2}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,positions,514ea4bf,view,"[{""name"": """", ""type"": ""bytes32"", ""position"": 1}]","[{""name"": ""liquidity"", ""type"": ""uint128"", ""position"": 1}, {""name"": ""feeGrowthInside0LastX128"", ""type"": ""uint256"", ""position"": 2}, {""name"": ""feeGrowthInside1LastX128"", ""type"": ""uint256"", ""position"": 3}, {""name"": ""tokensOwed0"", ""type"": ""uint128"", ""position"": 4}, {""name"": ""tokensOwed1"", ""type"": ""uint128"", ""position"": 5}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,protocolFees,1ad8b03b,view,[],"[{""name"": ""token0"", ""type"": ""uint128"", ""position"": 1}, {""name"": ""token1"", ""type"": ""uint128"", ""position"": 2}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,setFeeProtocol,8206a4d1,nonpayable,"[{""name"": ""feeProtocol0"", ""type"": ""uint8"", ""position"": 1}, {""name"": ""feeProtocol1"", ""type"": ""uint8"", ""position"": 2}]",[]
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,slot0,3850c7bd,view,[],"[{""name"": ""sqrtPriceX96"", ""type"": ""uint160"", ""position"": 1}, {""name"": ""tick"", ""type"": ""int24"", ""position"": 2}, {""name"": ""observationIndex"", ""type"": ""uint16"", ""position"": 3}, {""name"": ""observationCardinality"", ""type"": ""uint16"", ""position"": 4}, {""name"": ""observationCardinalityNext"", ""type"": ""uint16"", ""position"": 5}, {""name"": ""feeProtocol"", ""type"": ""uint8"", ""position"": 6}, {""name"": ""unlocked"", ""type"": ""bool"", ""position"": 7}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,snapshotCumulativesInside,a38807f2,view,"[{""name"": ""tickLower"", ""type"": ""int24"", ""position"": 1}, {""name"": ""tickUpper"", ""type"": ""int24"", ""position"": 2}]","[{""name"": ""tickCumulativeInside"", ""type"": ""int56"", ""position"": 1}, {""name"": ""secondsPerLiquidityInsideX128"", ""type"": ""uint160"", ""position"": 2}, {""name"": ""secondsInside"", ""type"": ""uint32"", ""position"": 3}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,swap,128acb08,nonpayable,"[{""name"": ""recipient"", ""type"": ""address"", ""position"": 1}, {""name"": ""zeroForOne"", ""type"": ""bool"", ""position"": 2}, {""name"": ""amountSpecified"", ""type"": ""int256"", ""position"": 3}, {""name"": ""sqrtPriceLimitX96"", ""type"": ""uint160"", ""position"": 4}, {""name"": ""data"", ""type"": ""bytes"", ""position"": 5}]","[{""name"": ""amount0"", ""type"": ""int256"", ""position"": 1}, {""name"": ""amount1"", ""type"": ""int256"", ""position"": 2}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,tickBitmap,5339c296,view,"[{""name"": """", ""type"": ""int16"", ""position"": 1}]","[{""name"": """", ""type"": ""uint256"", ""position"": 1}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,tickSpacing,d0c93a7c,view,[],"[{""name"": """", ""type"": ""int24"", ""position"": 1}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,ticks,f30dba93,view,"[{""name"": """", ""type"": ""int24"", ""position"": 1}]","[{""name"": ""liquidityGross"", ""type"": ""uint128"", ""position"": 1}, {""name"": ""liquidityNet"", ""type"": ""int128"", ""position"": 2}, {""name"": ""feeGrowthOutside0X128"", ""type"": ""uint256"", ""position"": 3}, {""name"": ""feeGrowthOutside1X128"", ""type"": ""uint256"", ""position"": 4}, {""name"": ""tickCumulativeOutside"", ""type"": ""int56"", ""position"": 5}, {""name"": ""secondsPerLiquidityOutsideX128"", ""type"": ""uint160"", ""position"": 6}, {""name"": ""secondsOutside"", ""type"": ""uint32"", ""position"": 7}, {""name"": ""initialized"", ""type"": ""bool"", ""position"": 8}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,token0,0dfe1681,view,[],"[{""name"": """", ""type"": ""address"", ""position"": 1}]"
0x04fd4354533879c25d59710d45d9637f7cd501b3,,UniswapV3Pool,token1,d21220a7,view,[],"[{""name"": """", ""type"": ""address"", ""position"": 1}]"
0x0b98057ea310f4d31f2a452b414647007d1645d9,,SBCDepositContractProxy,admin,f851a440,view,[],"[{""name"": """", ""type"": ""address"", ""position"": 1}]"
0x0b98057ea310f4d31f2a452b414647007d1645d9,,SBCDepositContractProxy,implementation,5c60da1b,view,[],"[{""name"": ""res"", ""type"": ""address"", ""position"": 1}]"
0x0b98057ea310f4d31f2a452b414647007d1645d9,,SBCDepositContractProxy,setAdmin,704b6c02,nonpayable,"[{""name"": ""_admin"", ""type"": ""address"", ""position"": 1}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,,SBCDepositContractProxy,upgradeTo,3659cfe6,nonpayable,"[{""name"": ""_implementation"", ""type"": ""address"", ""position"": 1}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,batchDeposit,47b1cfc7,nonpayable,"[{""name"": ""pubkeys"", ""type"": ""bytes"", ""position"": 1}, {""name"": ""withdrawal_credentials"", ""type"": ""bytes"", ""position"": 2}, {""name"": ""signatures"", ""type"": ""bytes"", ""position"": 3}, {""name"": ""deposit_data_roots"", ""type"": ""bytes32[]"", ""position"": 4}, {""name"": ""amounts"", ""type"": ""uint256[]"", ""position"": 5}]",[]
