offer_name,gateway_address,reason
test_offer_5,0x25ec8cc812d3f258b1c677731fc7bda44211928c,excluded per ops list
Gnosis App Market Payments,0xc8e57dcd5e63b4d3402f2c696f9b1d1312e84416,excluded per ops list
Fileverse Circles Offers Pay,0xd5e787b7f58f1225a63ba73a6661e3f5afffec50,excluded per ops list
TestOdooSellerPayments,0xc8f0c44380797fdf1f6c31c5e3d119ee791ac1c9,excluded per ops list
TestOdooSellerPayments,0x4353d29001d9b3264f3308b82a95a9bdfacf620e,excluded per ops list
shop_yann,0x1626a8927109725f36813244d51b2c47bad0debb,excluded per ops list
sdfsdf,0xa19d7304cc743784e3864b8756835e2a05a194f4,excluded per ops list
test miniapp paygate 02,0x576dc0a04ff3c3be4ff3743922e5b048eccdec58,excluded per ops list
test org passkey 2 paygate,0x2c72252647dfbae945865081a77a748ff11c3868,excluded per ops list
gateway1,0xebfd1be8ead94e2ea91f7626f000834ddead5d44,excluded per ops list
test-ticket-01-gateway,0xf787c06ed946b26faa81a317ae33cbd48a4eb9eb,excluded per ops list
EventPayments,0x7c7fee201af19a89c5337d15a074e2dc18eb3a20,excluded per ops list
a,0x590bb9934d9fb597c7d3783fe7afa635049d0bdf,excluded per ops list
blubb,0x7bac33f60543e3c4fc6490b83f8c6e2e19f88875,excluded per ops list
Test,0x802d69979c7ea5ca5f36610af0d058db0ebbcd16,excluded per ops list
blubb,0x1649b07f3269aacbaebe5f45a454c62349ef2a21,excluded per ops list
my shop 01,0xa003f1b196987fccfe74981e2cba3bd7148c7b82,excluded per ops list
_gw_1,0xdc7f5f781d33d48f1e4fefec5dce2cf5116f4736,excluded per ops list
_gw_2,0x6a66e8dadf71029fa5263f032b195cefe5be7b3b,excluded per ops list
Fura Gateway,0xf43bfc0f27181213bebd11851db760641f673c47,excluded per ops list
TOLDU Gateway,0x7b8a5a4673fcd082b742304032ea49d6bc6e01f5,excluded per ops list
Vee,0x9156b6c7ee264f49d5547a9ccfefa6db7945e082,excluded per ops list
Test Gateway 1769070576138,0x1f6db4d3cd8a506307952897a5b6d3bdedffbd1e,excluded per ops list
def,0xc54e49e799f916135d531bcd0a82dfd5b7b521d9,excluded per ops list
Circles Slots,0xb8fb42a8737c0307185d88ceea8df70cfb33d227,excluded per ops list
Leinss,0x5e2d3b96c4047fd40fdd926ed972d2c43c75a2ac,excluded per ops list
Gasmarket,0x87415ca1d8182e116005216d30337c3385f7d0f9,excluded per ops list
demogateway,0x7fb389136268dcd56c7db30bacaba8042899d20a,excluded per ops list
test physical gateway 02,0x7859822d4747c59bab00c0eed57a18275ec59d56,excluded per ops list
Nothing Ear (a),0x44239233d0ed889ea9d5fcd1aeb8a5ecbe68a51f,excluded per ops list
Payment gateway,0x7adc554258240da128dcf74db94b69bdf06fd55e,excluded per ops list
test_offers_6,0x352800c886c94703df5db3ba7dfcf3399841b328,excluded per ops list
gnosis shop,0xbfeb2867ecf87de80944f01b7efcd4a890f427ef,excluded per ops list
asdf,0xff697f701d9dd59e420ed255c7aef5edf805925c,excluded per ops list
physical-item-shop-payments,0x0ce89da15fa9a6a40d18db3b3f83aa19b1911d8a,excluded per ops list
Full Node Payments,0x6e37e55dc5a3b9f914d3f1b25171d3afb39d0e95,excluded per ops list
abc,0xfa8fec2b2d5531344e9add54b2545b0a1c08abf2,excluded per ops list
test physical paygate,0xe6637450017a86038498e515889d235a467c1baf,excluded per ops list
Orto Grut music,0x99e9276073ede0690dee81b6334c2619fb984cdf,excluded per ops list
dsa,0xa2cfc6acd7f16cdafbbe4b233c3c29a5d6844370,excluded per ops list
da da da,0x3e68184245986b356ceb92ea73531e6084cc044e,excluded per ops list
da da da,0x31f17ac1840e3ae4a27241f05d7f67b035eedba0,excluded per ops list
dead_minter_payment_solutions,0x93ae460062ac1d67b0e940f0ff4d55389d578380,excluded per ops list
Dappcon26,0x7c897b3107787317f6e3dec6214b3d1c357dca98,excluded per ops list
Nanopresso Portable Coffee Maker,0xdd49397e418a81adaf4ee87f85546e0556c68c2c,excluded per ops list
Teenage Engineering PO-14,0xe24c7763b128e5dcedc461c8229d297b4fd0adf9,excluded per ops list
test_offer_2,0xc6a1b9b558082b997b6ef90ac64cf82feb064d31,excluded per ops list
test_offer_1,0xac1c584b9528635f1a7afc8ea9de962050cf1202,excluded per ops list
test_offer_4,0xf807a555260570f716e70edbbfd910ed67314ccf,excluded per ops list
jaensen's payment gateway,0x5faf88f256c7cacaff34bb07c7e41deb22fdc81f,excluded per ops list
test_offer_2,0x11f64dd9835f1a68cf86d206b8aaab9933e2e0af,excluded per ops list
shorns shop test 01,0xb83d4cb07609dfe941610cff47583b0ce9c71643,excluded per ops list
Payments,0x6e9abf5b6bf99e949927394a03c370f5a7b91a6e,excluded per ops list
_gw_3,0xc13f559ace18817dee12bc8995a95ed43018aa37,excluded per ops list
sdfghj,0xea1a2ed1dad45e1f02b36da4c95be10290bff76f,excluded per ops list
gateway2,0x0d0d3d138a6e1f137c3ea72acb27d24225905f57,excluded per ops list
test payment gateway,0x0d56cebee9a88f94b1ed914363268bf9eeb13de8,excluded per ops list
Ireland Q&A,0x913fd80cc9b8ae38faa91407bf4fdf8303b79656,excluded per ops list
test org passkey 2 gate,0x89ae38644f8875b50e5b1546368f0765ed6d522d,excluded per ops list
WooShopPayments,0x6bfd932b1992e82e026cf3b22217e680b6253511,excluded per ops list
Martins payment gateway,0x2e58ad3514528b4c604d41a6886cdb0c573ebd41,excluded per ops list
