kpi_name,kpi_value_method,units,source_model,is_dedup_safe
pools_tvl_usd,last,usd,fct_execution_pools_daily,1
pools_volume_usd,sum,usd,fct_execution_pools_daily,1
dex_volume_usd_dedup,sum,usd,fct_execution_trades_by_protocol_daily,0
gpay_active_users,last,users,fct_execution_gpay_activity_weekly,1
gpay_payment_volume_usd,sum,usd,fct_execution_gpay_activity_weekly,1
ga_active_users,last,users,fct_execution_gnosis_app_users_daily,1
ga_new_users,sum,users,fct_execution_gnosis_app_users_daily,1
chain_tx_count,sum,count,int_execution_transactions_info_daily,1
gpay_topups_count,sum,count,fct_execution_gnosis_app_gpay_topups_weekly,1
gpay_topups_volume_usd,sum,usd,fct_execution_gnosis_app_gpay_topups_weekly,1
gno_staked,last,gno,api_consensus_staked_daily,1
bridge_inflow_usd,sum,usd,fct_bridges_netflow_weekly_by_bridge,1
bridge_outflow_usd,sum,usd,fct_bridges_netflow_weekly_by_bridge,1
